Start Date,End Date,Campaign Name,Advert Name,Placement,Reach,Frequency,Impressions,Clicks,Unique Clicks,Click-through Rate (CTR),Unique Click-through Rate (uCTR),Amount Spent (EUR),Actions,People Taking Action,Page Likes,Impression Device,Destination
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,Right Column Adverts on Desktop Computers,11,2.181818,24,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Desktop Computers,39,1,39,0,0,0,0,0.17,0,0,0,Desktop,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Other,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,News Feed on Mobile Devices,41,1,41,0,0,0,0,0.15,0,0,0,iPhone,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,18,1,18,0,0,0,0,0.06,0,0,0,Android Smartphone,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,Audience Network on Third-party Mobile Apps,80,1.45,116,2,2,1.724138,2.5,0.02,2,2,0,Other,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,iPod,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,Right Column Adverts on Desktop Computers,194,1.829897,355,0,0,0,0,0.01,0,0,0,Desktop,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,1,1,1,1,1,100,100,0,0,0,0,Android Tablet,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Other,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,75,1.013333,76,1,1,1.315789,1.333333,0.21,1,1,0,iPhone,No Breakdown
2015-04-13,2015-04-13,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,21,1,21,0,0,0,0,0.09,0,0,0,iPad,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,33,1,33,2,1,6.060606,3.030303,0.16,3,3,0,iPad,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,46,1.021739,47,0,0,0,0,0.14,0,0,0,Android Smartphone,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Desktop Computers,285,1.021053,291,0,0,0,0,1.38,0,0,0,Desktop,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,News Feed on Mobile Devices,63,1.126984,71,1,1,1.408451,1.587302,0.25,0,0,0,iPhone,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,122,1.622951,198,0,0,0,0,0.03,0,0,0,Desktop,No Breakdown
2015-04-12,2015-04-12,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Desktop Computers,27,1.074074,29,1,1,3.448276,3.703704,0.22,4,2,0,Desktop,No Breakdown
2015-04-12,2015-04-12,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,21,1.095238,23,1,1,4.347826,4.761905,0.09,1,1,0,iPhone,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,1,2,2,0,0,0,0,0.03,0,0,0,Other,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,News Feed on Mobile Devices,2,1,2,0,0,0,0,0.01,0,0,0,iPod,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,Right Column Adverts on Desktop Computers,543,1.935543,1051,0,0,0,0,0.05,0,0,0,Desktop,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0.01,0,0,0,Android Tablet,No Breakdown
